"j0 = 1.0, jpm = 0.5","j0 = 1.5, jpm = 0.5","j0 = 2.0, jpm = 1.0","j0 = 2.5, jpm = 1.0"
0.10327915,0.116103854,0.293382448,0.251803741
1.11682754,0.60421452,1.391197185,1.079203569
3.45093675,1.871524629,6.06216191,3.660756457
8.686043965,5.401414961,20.773817496,16.456844305
17.018160964,11.932129444,60.653190801,56.655996708
30.908644069,23.351336891,150.279459043,159.145518677
55.688336008,46.05474192,329.660105571,372.944995429
92.545577348,86.187496161,650.398573348,755.427053316
151.320603175,149.366263051,1172.798824515,1370.542679414
230.908948092,231.643041544,1942.726480517,2354.070625124
353.966339599,371.642916957,3151.209526257,3894.876432331
